"Категория товара","Системный классификатор","Тип дефекта (общий)","Детальное описание дефекта (10% Упаковка)","Детальное описание дефекта (20%)","Детальное описание дефекта (50%)","Детальное описание дефекта (100%)","Диагностика в СЛЦ"
"Крупно- и средне-габаритный товар","Упаковка","Нарушения критериев качества упаковки","Нарушения критериев качества упаковки; Отсутствие упаковки/частей упаковки; Намокание упаковки при отсутствии намокания товара.; упаковка отсутствует; повреждена упаковка; порвана упаковка; намокла упаковка; мятая коробка; тара повреждена; обёртка отсутствует; нарушена упаковка; нет коробки; без упаковки; вскрытая упаковка; отсутствие заводской плёнки; грязная упаковка; следы вскрытия упаковки; упаковка без пломб; коробка нетоварного вида; повреждения упаковки; отсутствует пенопласт; нет пакета; разорвана упаковка","","","",""
"Крупно- и средне-габаритный товар","Внешний вид","Царапины и потёртости (20%)","","Царапины и потёртости площадью до 5 см.2 на лицевой или на верхней (для товаров высотой ниже 150 см.) частях изделия.; Царапины и потёртости без ограничения размера на любой части изделия, кроме лицевой или верхней (для товаров высотой ниже 150 см.).; царапины до 5 см; мелкие потёртости; царапина сбоку; царапина на корпусе; легкие следы использования; царапины на задней панели; царапина на крышке; потертости на ножках; поцарапанная боковая панель; небольшие сколы краски; поверхностные царапины; неглубокие царапины; царапина на пластике; царапина на металле; следы трения","","",""
"Крупно- и средне-габаритный товар","Внешний вид","Вмятины (20%)","","Вмятина площадью до 0,5 см.2 на лицевой или на верхней (для товаров высотой ниже 150 см.) частях изделия.; Вмятины площадью от 0,5 см.2 и глубиной до 0,5 см. на любой части изделия, кроме лицевой или верхней (для товаров высотой ниже 150 см.).; вмятины до 0.5 см; небольшая вмятина; вмятина на корпусе; легкие вмятины; вмятина на боку; маленькая вмятина; еле заметная вмятина","","",""
"Крупно- и средне-габаритный товар","Комплектация","Некомплектность (20%)","","Нарушение комплектации товара (отсутствие одного или нескольких аксессуаров, входящих в комплект).; нет пульта; отсутствует кабель; не хватает инструкции; мелкий некомплект; отсутствует один аксессуар; нет зарядки; без батареек; не хватает крепежа; нет винтов; нет документации; неполный комплект; отсутствует второстепенный элемент","","",""
"Крупно- и средне-габаритный товар","Внешний вид","Царапины и потёртости (50%)","","","Царапины и потёртости площадью от 5 см2 на лицевой или на верхней (для товаров высотой ниже 150 см.) частях изделия.; царапины от 5 см; корпус обшарпан; царапины на стекле; царапины на кнопках; глубокие царапины; крупные потертости; царапины на экране; царапины на дисплее; сильные потертости; большая область царапин; видимые царапины; заметные потертости","",""
"Крупно- и средне-габаритный товар","Внешний вид","Вмятины (50%)","","","Вмятины площадью от 0,5 см.2 и глубиной от 0,5 см. до 1 см. на любой части товара, не влияющие на его геометрию.; вмятины глубиной до 1 см; большая вмятина; деформированная дверца; вмятины по корпусу; заметные вмятины; глубокая вмятина; вмятина на металлической части; погнутые части","",""
"Крупно- и средне-габаритный товар","Следы эксплуатации (50%)","Следы эксплуатации","","","Товар со следами эксплуатации или намокание товара, не влияющие на его рабочее состояние (рабочее состояние проверяется путем включения в розетку после высыхания).; наличие средств для стирки; наличие предметов одежды в стиральной машинке; наличие остатков пищи в холодильнике; наличие остатков пищи в микроволновке; наличие остатков пищи в духовом шкафу; наличие остатков пищи на поверхности плит и варочных панелей; наличие следов кофе в кофемашине; наличие накипи в электрочайнике; наличие установленной операционной системы (ОС) на ноутбуках без предустановленной ОС; наличие пользовательского аккаунта на цифровой технике; наличие следов уборки помещений в пылесосах; наличие моющих средств в посудомоечной машинке; наличие волос на бритве; наличие волос на машинке для стрижки; наличие волос на эпиляторе; наличие остатков зубной пасты на зубной щётке; наличие остатков тонального крема на накладных наушниках; следы жира; пятна краски; следы пыли; легкие загрязнения; небольшие пятна; пожелтение пластика; потертости от использования; потемнение материала; следы жидкости без нарушения работы; незначительные загрязнения","",""
"Крупно- и средне-габаритный товар","Повреждения","Геометрия/сквозные/экраны (100%)","","","","Нарушение геометрии Товара (изменение линейно-угловых пропорций Товара, установленных заводом-изготовителем, включая выпуклости более 0.5 см.; линейную и угловую деформации).; Сквозные повреждения.; Раскол и трещины экранов, дисплеев, стеклянных и керамических поверхностей, сенсорных панелей управления.; трещина дисплея; экран разбит; раскол стекла; корпус расколот; сенсор не работает; плата повреждена; геометрия нарушена; поломка корпуса; пробитие корпуса; разрыв кабеля; отвалился разъем; пробита стенка; треснула панель; разбит полностью",""
"Крупно- и средне-габаритный товар","Следы эксплуатации (100%)","Следы эксплуатации","","","","Товар со следами эксплуатации или намокание товара, влияющие на его рабочее состояние (рабочее состояние проверяется путем включения в розетку после высыхания).; намокание с потерей работоспособности; следы сильного износа; сильные загрязнения; ржавчина; коррозия; плесень; горелый запах; следы попытки ремонта; следы вскрытия",""
"Крупно- и средне-габаритный товар","Комплектация","Некомплектность (100%)","","","","Некомплектность товара (отсутствие одного и более составных компонентов товара, например отсутствие одного из блоков сплит-системы).; нет внутреннего блока; нет внешнего блока; некомплект сплит-системы; отсутствует блок питания; нет компрессора; нет основной платы; полная некомплектность; не хватает основных элементов; отсутствует важная деталь; не полный комплект",""
"Крупно- и средне-габаритный товар","Функциональные недостатки","Работоспособность (СЛЦ)","","","","","Функциональные недостатки товара, которые проявляются в процессе эксплуатации товара и выражаются в полном или частичном отсутствии его работоспособности.; Заявленные функциональные недостатки товара отражаются: в заключении специалиста о функциональном дефекте при возвратах с клиентской доставки; в файле выгрузки причин возврата Товара из личного кабинета маркетплейса, полученного от операторов группы складского учёта/ответственного сотрудника логистического оператора при возвратах от маркетплейсов.; не включается; не работает; не реагирует; не заряжается; отказал; не заводится; функциональный дефект; не крутится; не греет; не охлаждает; шумит сильно; издаёт посторонние звуки; периодически отключается; самопроизвольно выключается; зависает; не определяет; не считывает; не подключается; мигает индикатор; ошибка на экране; постоянно пищит; не производит заявленные функции; частичная неработоспособность; неисправен; не функционирует; выходит из строя; ошибка в работе"

"Мелко-габаритный товар и категория аксессуары","Упаковка","Нарушения критериев качества упаковки (10%)","Нарушения критериев качества упаковки; Отсутствие упаковки/частей упаковки; Намокание упаковки при отсутствии намокания товара; повреждена коробка; отсутствует упаковка; упаковка порвана; нет коробки; мятая упаковка; тара не оригинальная; повреждение упаковки; обертка отсутствует; пластик упаковки треснут; упаковка вскрыта; отсутствует пломба; коробка помята; грязная упаковка; надорвана упаковка; отсутствует блистер; без заводской упаковки","","","",""
"Мелко-габаритный товар и категория аксессуары","Комплектация","Некомплектность (20%)","","Нарушение комплектации товара (отсутствие одного или нескольких аксессуаров, входящих в комплект).; не хватает насадки; отсутствует зарядник; потеря аксессуара; не хватает кабеля; нет наушников; без амбушюр; некомплект; нет инструкции; отсутствует чехол; нет крепления; не хватает ремешка; отсутствует крышка","","",""
"Мелко-габаритный товар и категория аксессуары","Внешний вид","Потёртости и царапины (20%)","","Потёртости, ухудшающие внешний вид товара, но не влияющие на его рабочее состояние.; Царапины корпуса товара.; царапина корпуса; небольшая потёртость; потёртость без влияния на работу; царапины на корпусе; царапина крышки; царапины по бокам; мелкие царапины; потертости; загрязнения; пыль; легкие вмятины; микроцарапины; потертости на кнопках; грязь в разъемах; следы от наклеек","","",""
"Мелко-габаритный товар и категория аксессуары","Внешний вид","Вмятины/Царапины дисплея (50%)","","","Вмятины.; Царапины на дисплеях/экранах или сенсорных панелях товара.; вмятина корпуса; намокание без потери работы; экран с пятном; следы использования; царапина на дисплее; царапины на кнопках; вмятины после падения; глубокие царапины; сильные потертости; большая вмятина; погнут корпус; не работает часть сенсора; выгоревший пиксель; битые пиксели; сильные потертости на экране; глубокие вмятины; деформация корпуса; отслоение дисплея; желтые пятна на экране; залитие жидкостью (без отказа работы); скол на экране; трещина на стекле без потери сенсора","",""
"Мелко-габаритный товар и категория аксессуары","Следы эксплуатации (50%)","Следы эксплуатации","","","Товар со следами эксплуатации , включая активированный товар или намокание товара, не влияющие на его рабочее состояние (рабочее состояние проверяется путем включения в розетку после высыхания).; наличие средств для стирки; наличие предметов одежды в стиральной машинке; наличие остатков пищи в холодильнике; наличие остатков пищи в микроволновке; наличие остатков пищи в духовом шкафу; наличие остатков пищи на поверхности плит и варочных панелей; наличие следов кофе в кофемашине; наличие накипи в электрочайнике; наличие установленной операционной системы (ОС) на ноутбуках без предустановленной ОС; наличие пользовательского аккаунта на цифровой технике; наличие следов уборки помещений в пылесосах; наличие моющих средств в посудомоечной машинке; наличие волос на бритве; наличие волос на машинке для стрижки; наличие волос на эпиляторе; наличие остатков зубной пасты на зубной щётке; наличие остатков тонального крема на накладных наушниках","",""
"Мелко-габаритный товар и категория аксессуары","Повреждения","Геометрия/трещины/сыпучие (100%)","","","","Нарушение геометрии Товара (изменение линейно-угловых пропорций Товара, установленных заводом-изготовителем, включая выпуклости, линейную и угловую деформации).; Трещины и любые сквозные повреждения корпуса Товара, трещины дисплеев/экранов, панелей управления.; Повреждения целостности тары сыпучих и жидких Товаров.; не работает; сломан; разбит; сгорел; перегорел; не включается; не заряжается; порван шнур; провод перебит; отвалился разъем; сломан разъем; нет аккумулятора; не держит заряд; оторвана ручка; кнопка провалилась; корпус треснул; экран пошёл трещинами; разбитое стекло; разбит экран; раскол корпуса; пробитие; прогар",""
"Мелко-габаритный товар и категория аксессуары","Следы эксплуатации (100%)","Следы эксплуатации","","","","Товар со следами эксплуатации или намокание товара, влияющие на его рабочее состояние (рабочее состояние проверяется путем включения в розетку после высыхания).; Товары с истёкшим сроком годности; залитие жидкостью с отказом работы; следы клея; следы ремонта; вскрывался; разобран",""
"Мелко-габаритный товар и категория аксессуары","Комплектация","Некомплектность (100%)","","","","Некомплектность товара (отсутствие одного и более составных компонентов товара, например отсутствие одного из блоков сплит-системы).; отсутствует основной компонент; нет батареи; без модуля; неполный комплект; отсутствует важная часть; нет главного элемента",""
